sample,fastq_1,fastq_2
2910C-lig1,/scicomp/home-pure/rtq0/EMEL-GWA/Projects/Amoeba_Sequencing/NM_ATL/Short-Read/TRIMMED/MERGED-FILTERED/2910C-lig1_S1_merged_filtered.fastq.gz,
2910C-lig2,/scicomp/home-pure/rtq0/EMEL-GWA/Projects/Amoeba_Sequencing/NM_ATL/Short-Read/TRIMMED/MERGED-FILTERED/2910C-lig2_S5_merged_filtered.fastq.gz,
2910C-lig3,/scicomp/home-pure/rtq0/EMEL-GWA/Projects/Amoeba_Sequencing/NM_ATL/Short-Read/TRIMMED/MERGED-FILTERED/2910C-lig3_S10_merged_filtered.fastq.gz,
2910D-lig1,/scicomp/home-pure/rtq0/EMEL-GWA/Projects/Amoeba_Sequencing/NM_ATL/Short-Read/TRIMMED/MERGED-FILTERED/2910D-lig1_S2_merged_filtered.fastq.gz,
2910D-lig2,/scicomp/home-pure/rtq0/EMEL-GWA/Projects/Amoeba_Sequencing/NM_ATL/Short-Read/TRIMMED/MERGED-FILTERED/2910D-lig2_S6_merged_filtered.fastq.gz,
2910D-lig3,/scicomp/home-pure/rtq0/EMEL-GWA/Projects/Amoeba_Sequencing/NM_ATL/Short-Read/TRIMMED/MERGED-FILTERED/2910D-lig3_S11_merged_filtered.fastq.gz,
2911C-lig1,/scicomp/home-pure/rtq0/EMEL-GWA/Projects/Amoeba_Sequencing/NM_ATL/Short-Read/TRIMMED/MERGED-FILTERED/2911C-lig1_S3_merged_filtered.fastq.gz,
2911C-lig2,/scicomp/home-pure/rtq0/EMEL-GWA/Projects/Amoeba_Sequencing/NM_ATL/Short-Read/TRIMMED/MERGED-FILTERED/2911C-lig2_S7_merged_filtered.fastq.gz,
2911C-lig3,/scicomp/home-pure/rtq0/EMEL-GWA/Projects/Amoeba_Sequencing/NM_ATL/Short-Read/TRIMMED/MERGED-FILTERED/2911C-lig3_S12_merged_filtered.fastq.gz,
2911D-lig2,/scicomp/home-pure/rtq0/EMEL-GWA/Projects/Amoeba_Sequencing/NM_ATL/Short-Read/TRIMMED/MERGED-FILTERED/2911D-lig2_S8_merged_filtered.fastq.gz,
2911D-lig3,/scicomp/home-pure/rtq0/EMEL-GWA/Projects/Amoeba_Sequencing/NM_ATL/Short-Read/TRIMMED/MERGED-FILTERED/2911D-lig3_S13_merged_filtered.fastq.gz,
2911D-lig4,/scicomp/home-pure/rtq0/EMEL-GWA/Projects/Amoeba_Sequencing/NM_ATL/Short-Read/TRIMMED/MERGED-FILTERED/2911D-lig4_S15_merged_filtered.fastq.gz,
PA5-lig1,/scicomp/home-pure/rtq0/EMEL-GWA/Projects/Amoeba_Sequencing/NM_ATL/Short-Read/TRIMMED/MERGED-FILTERED/PA5-lig1_S4_merged_filtered.fastq.gz,
PA5-lig2,/scicomp/home-pure/rtq0/EMEL-GWA/Projects/Amoeba_Sequencing/NM_ATL/Short-Read/TRIMMED/MERGED-FILTERED/PA5-lig2_S9_merged_filtered.fastq.gz,
PA5-lig3,/scicomp/home-pure/rtq0/EMEL-GWA/Projects/Amoeba_Sequencing/NM_ATL/Short-Read/TRIMMED/MERGED-FILTERED/PA5-lig3_S14_merged_filtered.fastq.gz,
