sample,fastq_1,fastq_2
2910C-lig1,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Amoeba_Sequencing/NM_ATL/Short-Read/RAW/FASTQ/2910C-lig1_S1_L001_R1_001.fastq.gz,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Amoeba_Sequencing/NM_ATL/Short-Read/RAW/FASTQ/2910C-lig1_S1_L001_R2_001.fastq.gz
2910C-lig2,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Amoeba_Sequencing/NM_ATL/Short-Read/RAW/FASTQ/2910C-lig2_S5_L001_R1_001.fastq.gz,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Amoeba_Sequencing/NM_ATL/Short-Read/RAW/FASTQ/2910C-lig2_S5_L001_R2_001.fastq.gz
2910C-lig3,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Amoeba_Sequencing/NM_ATL/Short-Read/RAW/FASTQ/2910C-lig3_S10_L001_R1_001.fastq.gz,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Amoeba_Sequencing/NM_ATL/Short-Read/RAW/FASTQ/2910C-lig3_S10_L001_R2_001.fastq.gz
2910D-lig1,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Amoeba_Sequencing/NM_ATL/Short-Read/RAW/FASTQ/2910D-lig1_S2_L001_R1_001.fastq.gz,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Amoeba_Sequencing/NM_ATL/Short-Read/RAW/FASTQ/2910D-lig1_S2_L001_R2_001.fastq.gz
2910D-lig2,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Amoeba_Sequencing/NM_ATL/Short-Read/RAW/FASTQ/2910D-lig2_S6_L001_R1_001.fastq.gz,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Amoeba_Sequencing/NM_ATL/Short-Read/RAW/FASTQ/2910D-lig2_S6_L001_R2_001.fastq.gz
2910D-lig3,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Amoeba_Sequencing/NM_ATL/Short-Read/RAW/FASTQ/2910D-lig3_S11_L001_R1_001.fastq.gz,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Amoeba_Sequencing/NM_ATL/Short-Read/RAW/FASTQ/2910D-lig3_S11_L001_R2_001.fastq.gz
2911C-lig1,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Amoeba_Sequencing/NM_ATL/Short-Read/RAW/FASTQ/2911C-lig1_S3_L001_R1_001.fastq.gz,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Amoeba_Sequencing/NM_ATL/Short-Read/RAW/FASTQ/2911C-lig1_S3_L001_R2_001.fastq.gz
2911C-lig2,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Amoeba_Sequencing/NM_ATL/Short-Read/RAW/FASTQ/2911C-lig2_S7_L001_R1_001.fastq.gz,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Amoeba_Sequencing/NM_ATL/Short-Read/RAW/FASTQ/2911C-lig2_S7_L001_R2_001.fastq.gz
2911C-lig3,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Amoeba_Sequencing/NM_ATL/Short-Read/RAW/FASTQ/2911C-lig3_S12_L001_R1_001.fastq.gz,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Amoeba_Sequencing/NM_ATL/Short-Read/RAW/FASTQ/2911C-lig3_S12_L001_R2_001.fastq.gz
2911D-lig2,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Amoeba_Sequencing/NM_ATL/Short-Read/RAW/FASTQ/2911D-lig2_S8_L001_R1_001.fastq.gz,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Amoeba_Sequencing/NM_ATL/Short-Read/RAW/FASTQ/2911D-lig2_S8_L001_R2_001.fastq.gz
