sample,fastq_1,fastq_2
C1,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Short-Read_workflow_test/C1_S6_L001_R1_001.fastq.gz,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Short-Read_workflow_test/C1_S6_L001_R2_001.fastq.gz
C2,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Short-Read_workflow_test/C2_S20_L001_R1_001.fastq.gz,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Short-Read_workflow_test/C2_S20_L001_R2_001.fastq.gz
EB1,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Short-Read_workflow_test/EB1_S7_L001_R1_001.fastq.gz,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Short-Read_workflow_test/EB1_S7_L001_R2_001.fastq.gz
EB2,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Short-Read_workflow_test/EB2_S21_L001_R1_001.fastq.gz,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Short-Read_workflow_test/EB2_S21_L001_R2_001.fastq.gz
LB,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Short-Read_workflow_test/LB_S22_L001_R1_001.fastq.gz,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Short-Read_workflow_test/LB_S22_L001_R2_001.fastq.gz
MP1-1,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Short-Read_workflow_test/MP1-1_S11_L001_R1_001.fastq.gz,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Short-Read_workflow_test/MP1-1_S11_L001_R2_001.fastq.gz
MP1-2,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Short-Read_workflow_test/MP1-2_S17_L001_R1_001.fastq.gz,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Short-Read_workflow_test/MP1-2_S17_L001_R2_001.fastq.gz
MP1-30,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Short-Read_workflow_test/MP1-30_S4_L001_R1_001.fastq.gz,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Short-Read_workflow_test/MP1-30_S4_L001_R2_001.fastq.gz
MP2-1,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Short-Read_workflow_test/MP2-1_S12_L001_R1_001.fastq.gz,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Short-Read_workflow_test/MP2-1_S12_L001_R2_001.fastq.gz
MP2-2,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Short-Read_workflow_test/MP2-2_S18_L001_R1_001.fastq.gz,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Short-Read_workflow_test/MP2-2_S18_L001_R2_001.fastq.gz
MP2-30,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Short-Read_workflow_test/MP2-30_S5_L001_R1_001.fastq.gz,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Short-Read_workflow_test/MP2-30_S5_L001_R2_001.fastq.gz
MP3-1,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Short-Read_workflow_test/MP3-1_S13_L001_R1_001.fastq.gz,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Short-Read_workflow_test/MP3-1_S13_L001_R2_001.fastq.gz
MP3-2,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Short-Read_workflow_test/MP3-2_S19_L001_R1_001.fastq.gz,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Short-Read_workflow_test/MP3-2_S19_L001_R2_001.fastq.gz
MPP1-1,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Short-Read_workflow_test/MPP1-1_S8_L001_R1_001.fastq.gz,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Short-Read_workflow_test/MPP1-1_S8_L001_R2_001.fastq.gz
MPP1-2,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Short-Read_workflow_test/MPP1-2_S14_L001_R1_001.fastq.gz,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Short-Read_workflow_test/MPP1-2_S14_L001_R2_001.fastq.gz
MPP1-30,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Short-Read_workflow_test/MPP1-30_S1_L001_R1_001.fastq.gz,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Short-Read_workflow_test/MPP1-30_S1_L001_R2_001.fastq.gz
MPP2-1,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Short-Read_workflow_test/MPP2-1_S9_L001_R1_001.fastq.gz,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Short-Read_workflow_test/MPP2-1_S9_L001_R2_001.fastq.gz
MPP2-2,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Short-Read_workflow_test/MPP2-2_S15_L001_R1_001.fastq.gz,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Short-Read_workflow_test/MPP2-2_S15_L001_R2_001.fastq.gz
MPP2-30,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Short-Read_workflow_test/MPP2-30_S2_L001_R1_001.fastq.gz,/scicomp/groups-pure/OID/NCEZID/DFWED/WDPB/EMEL/Projects/Short-Read_workflow_test/MPP2-30_S2_L001_R2_001.fastq.gz
